year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2024,No,Yes,Somewhat unlikely,,,Extremely likely,,Fall and Spring,Volunteering,30,50,40,Allows too few students back on campus,Don't know enough to say,12,Very well,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat well,Agree with the policy,4,Don't know enough to say,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,57,38,83,Allows too few students back on campus,Don't know enough to say,38,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,3,Princeton,
2024,No,No,Extremely likely,,,Extremely likely,,,,85,92,35,Just right,Just right,8,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,6,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Travel,55,47,15,Allows too few students back on campus,Too many precautionary measures taken,40,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,10,Other (please specify),Columbia
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Other,,,90,93,95,Allows too few students back on campus,Just right,20,Very well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,1,Yale,
2021,No,No,Somewhat likely,Somewhat likely,No,Somewhat unlikely,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,52,33,25,"Number is just right, but it should be a different cohort in the Fall",Just right,7,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2023,No,No,Extremely likely,Somewhat unlikely,No,,Family Home,,,68,55,29,Allows too few students back on campus,Too many precautionary measures taken,31,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,6,Cornell,
2022,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,50,40,Don't know enough to say,Just right,15,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Other (please specify),Brown
2022,Yes,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,71,41,28,Just right,Just right,84,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,7,Don't know enough to say,
2022,No,No,Somewhat likely,Somewhat unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,75,45,Allows too few students back on campus,Too many precautionary measures taken,70,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very well,Policy is not individualized enough,4,Don't know enough to say,
2024,No,No,Somewhat likely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Research,20,60,50,Allows too few students back on campus,Too many precautionary measures taken,2,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,4,Cornell,
2022,No,Yes,Extremely likely,Somewhat likely,No,Somewhat unlikely,Family Home,,,62,45,33,Allows too few students back on campus,Just right,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2021,Yes,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,70,81,14,Just right,Just right,19,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2023,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Travel,50,40,25,Allows too few students back on campus,Too many precautionary measures taken,70,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,4,Yale,
2024,Yes,Yes,Extremely likely,,,Extremely likely,,,,75,87,68,Just right,Don't know enough to say,4,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Princeton,
2023,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,80,65,54,Allows too few students back on campus,Just right,13,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,2,Stanford,
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,61,70,40,Allows too few students back on campus,Too many precautionary measures taken,30,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Other (please specify),"Brown, Columbia "
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,80,32,Allows too few students back on campus,Don't know enough to say,10,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,4,Princeton,
2021,No,No,Somewhat likely,Somewhat likely,No,Somewhat unlikely,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,77,60,40,Allows too few students back on campus,Don't know enough to say,18,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Other (please specify),Johns Hopkins 
2024,No,No,Somewhat likely,,,Extremely likely,,"Fall, and maybe Spring depending on policy",Other,75,75,27,Allows too few students back on campus,Too many precautionary measures taken,5,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,2,Other (please specify),"Northwestern, Notre Dame "
2021,No,Prefer not to say,Extremely likely,Extremely unlikely,No,,Family Home,,,50,65,60,Allows too few students back on campus,Just right,40,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,6,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,80,67,65,Allows too few students back on campus,Just right,3,Very well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very well,"Policy is not individualized enough,Agree with the policy",3,MIT,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,70,70,22,Don't know enough to say,Don't know enough to say,40,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat well,Agree with the policy,9,Don't know enough to say,
2024,Yes,Yes,Extremely likely,,,Somewhat unlikely,,,,85,85,25,Just right,Don't know enough to say,3,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Other (please specify),
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,40,20,20,"Number is just right, but it should be a different cohort in the Fall",Just right,20,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,,Yale,
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Extremely likely,Living with Harvard friends,,,50,75,25,Allows too few students back on campus,Too many precautionary measures taken,23,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,5,Yale,
